character,pinyin,bihua,n.male,n.female,name.gender,n.1930_1959,n.1960_1969,n.1970_1979,n.1980_1989,n.1990_1999,n.2000_2008,ppm.1930_1959,ppm.1960_1969,ppm.1970_1979,ppm.1980_1989,ppm.1990_1999,ppm.2000_2008,name.ppm,name.uniqueness,corpus.ppm,corpus.uniqueness,name.valence,name.warmth,name.competence
傅,fu4,12,4322,800,0.688,1249,519,459,763,1319,838,3.891,2.532,2.196,3.686,7.851,9.311,4.911,5.228,62.254,4.199,3.3750,3.6,3.5
富,fu4,12,4678606,646489,0.757,2179322,1099169,842327,589729,412862,199220,6789.165,5361.800,4030.273,2848.932,2457.512,2213.556,3950.206,2.403,350.948,3.454,4.4375,3.3,3.4
馥,fu4,18,5441,29443,-0.688,9241,2942,2796,5432,7575,6944,28.788,14.351,13.378,26.242,45.089,77.156,34.167,4.454,1.415,5.617,4.3125,3.8,3.4
伽,ga1,7,2493,4389,-0.276,114,69,324,1285,2122,2963,0.355,0.337,1.550,6.208,12.631,32.922,9.001,5.000,12.605,4.866,3.0625,2.8,2.9
嘎,ga1,14,17208,13541,0.119,6864,4959,6296,7045,4400,1183,21.383,24.190,30.124,34.034,26.190,13.144,24.844,4.588,18.007,4.721,2.4375,2.6,2.5
尕,ga3,5,3441,11351,-0.535,5676,2864,3276,1545,1185,246,17.682,13.971,15.675,7.464,7.054,2.733,10.763,4.929,0.000,6.000,2.7500,2.8,2.6
改,gai3,7,71320,973131,-0.863,422844,261610,193303,125758,36490,5409,1317.271,1276.146,924.895,607.527,217.202,60.100,733.857,3.134,805.888,3.093,2.3125,2.4,2.8
盖,gai4,11,6191,810,0.769,541,355,536,1943,2923,703,1.685,1.732,2.565,9.386,17.399,7.811,6.763,5.110,140.135,3.850,2.7500,2.8,3.0
甘,gan1,5,9364,5995,0.219,4408,1734,1697,2642,3138,1711,13.732,8.459,8.120,12.763,18.679,19.011,13.461,4.840,65.598,4.177,3.5625,3.4,2.9
敢,gan3,11,24836,966,0.925,2110,3966,7657,7026,3975,1069,6.573,19.346,36.636,33.942,23.661,11.878,22.006,4.638,170.104,3.767,3.6250,2.9,3.3
感,gan3,13,981,290,0.544,111,65,101,240,420,334,0.346,0.317,0.483,1.159,2.500,3.711,1.419,5.616,920.813,3.035,3.4375,3.6,3.1
干,gan4,3,195905,60130,0.530,101337,54640,47531,30334,17026,5057,315.692,266.537,227.421,146.541,101.345,56.189,185.621,3.729,853.736,3.068,2.2500,2.4,2.8
淦,gan4,11,53046,3899,0.863,17382,6865,6051,8479,10918,7219,54.150,33.488,28.952,40.961,64.988,80.211,50.458,4.289,0.000,6.000,3.0625,3.0,3.3
