name,n.male,n.female,beijing,tianjin,hebei,shanxi,neimenggu,liaoning,jilin,heilongjiang,shanghai,jiangsu,zhejiang,anhui,fujian,jiangxi,shandong,henan,hubei,hunan,guangdong,guangxi,hainan,chongqing,sichuan,guizhou,yunnan,xizang,shaanxi,gansu,qinghai,ningxia,xinjiang,others
玉芳,25049,618634,4782,5388,30937,14336,10717,19156,14090,20576,9327,63806,11276,37191,9065,9208,58848,39929,18560,12876,26364,22342,4058,9112,82490,4522,10204,44,35118,36771,6507,7034,7275,1770
淑兰,313,636755,34923,16630,54222,5907,27837,83381,71815,101224,855,10784,1924,9694,8800,13808,43949,8986,7370,19330,9095,2552,1688,16752,32771,1143,1943,16,10694,26290,1801,5976,3763,1197
坤,522065,109225,5176,5602,34488,8042,10286,33125,18617,29536,1835,33210,4679,59502,4108,14888,58770,66647,37997,25608,15418,15701,1891,11461,47551,26731,23005,98,25254,5039,595,2302,3081,1047
春华,214960,412249,8659,5145,23898,3078,10465,32752,22584,32902,8550,45381,14813,21267,14484,47090,41673,30019,42472,58912,21528,19444,959,9434,74645,5733,19265,79,4625,1998,437,940,2914,1064
翠英,401,622762,3471,2107,38357,33384,15127,11498,3641,8579,8370,67506,9449,54890,7622,9908,69966,56757,23334,50135,18518,25365,1549,3602,30020,4842,24679,19,17352,13454,835,2908,4271,1665
凤兰,1302,621620,13352,10452,48948,8492,31538,65667,42680,62520,2291,27089,5115,24741,7050,12164,50099,52415,27371,10568,19929,26285,975,3701,11045,3765,15710,25,16001,10039,1325,7697,2892,981
小英,4714,615969,1470,495,18739,12190,4171,1049,1013,1057,4611,25979,42412,11909,19352,93357,9472,19730,22344,71371,35662,40559,3962,15475,89724,19031,10999,82,20496,17312,1623,2287,2126,787
欣,174538,445510,18643,16305,37588,17227,14542,37182,18890,28860,7136,31352,11435,21817,11593,27286,54962,45156,26884,27748,20679,12925,2297,19630,40336,10503,9654,131,30013,8783,1276,3934,4292,999
毅,546978,69102,13389,8762,14600,17954,6575,24961,5928,8031,14376,29895,17324,22017,11214,20108,25313,26546,39556,43756,21715,30332,2198,35400,82878,27326,15360,175,29407,9944,1310,3027,5122,1497
兰,10687,602441,4912,3612,20177,6271,18570,13551,7541,10822,4584,53650,6759,45638,7164,16824,20920,43099,37289,30311,29141,26476,4053,22925,74089,40463,19121,186,12281,11996,4150,7838,7254,1461
俊杰,549722,54069,4268,4533,32901,26514,10730,14902,9087,11561,11708,33019,29119,36654,20868,20445,29845,69282,28314,28609,65026,13451,1507,17027,32195,8705,9114,75,14527,9763,1179,2400,5020,1451
玲玲,4163,596599,2658,2415,32254,18069,12026,15573,11551,16226,7161,47031,43773,58951,23013,26021,44966,65243,30721,24371,15032,11129,1414,8607,20453,7760,3271,50,24214,17487,1120,3463,3557,1188
成,563932,32724,5772,3626,29050,10509,18111,22564,22070,29902,4203,49826,10592,45664,3269,15242,23963,22126,50966,33518,13461,17127,2636,16651,59580,20088,17637,624,15824,14044,3268,7351,5893,1493
青,184768,407420,8913,5648,30725,16115,10891,12268,5635,8665,14429,58122,16465,34897,9722,28214,54341,37296,44903,36826,18187,13274,4501,9642,28473,21385,15072,4654,21048,8009,5959,2758,4392,1022
素珍,694,582015,5657,4472,55122,13654,18665,53240,8562,5412,9317,68401,20761,34931,15238,9811,18748,35978,20399,9637,16941,11976,686,26428,81683,9098,3901,30,14172,3695,511,1642,2573,1368
文英,22552,557252,7073,6705,33680,13440,8509,12450,6764,11113,9363,50477,24088,44970,12405,18185,46702,41411,20708,23682,30227,19227,2667,13524,40607,22928,32440,37,12679,6453,2079,2250,3052,1026
海霞,3412,574832,5515,2435,45635,37344,31379,13837,11283,24172,1862,40421,12836,21431,4717,12390,60447,72319,27364,20624,18694,8665,5570,6976,15661,6991,3680,58,15840,33902,4678,5929,4382,1182
小燕,9018,567443,1905,462,10498,14597,9268,977,939,1051,2837,35786,30877,23697,26713,50085,14022,24513,27280,30665,63731,33044,7950,23439,64693,16487,5291,66,17351,25021,1162,8013,3225,818
桂华,76392,499307,7311,5792,23408,676,14567,54543,36399,48421,4858,44618,4614,18493,9023,20584,37030,13808,29686,44594,19222,17795,660,6684,94061,3040,10383,46,1842,701,241,320,1674,605
